Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer State,Customer City,Customer Zip Code,Order ID
Coffee,Coca-Cola,Coffee,151,2141,4956,-2815,7/4/20,Angela Wilson,California,East Danielleview,35273,1-143-51064-X
Coffee,Coca-Cola,Coffee,624,1620,1156,464,4/9/21,Zachary Wheeler,Wisconsin,New Kimberlyshire,55509,1-163-25655-2
Wine,Coca-Cola,Alcoholic,853,9978,1030,8948,3/10/22,Jeremy Arroyo,Massachusetts,Vickieshire,93236,0-345-30366-0
Green Tea,Dr. Pepper,Tea,962,5974,5279,695,5/10/23,Andrew Fleming,Arizona,Albertberg,34895,1-4844-8219-0
Vodka,Dr. Pepper,Alcoholic,719,3928,2828,1100,11/19/20,Caroline Smith,Indiana,Johnsonstad,90201,1-85816-387-0
Lemonade,Dr. Pepper,Soft Drink,650,4708,4619,89,9/14/21,Charles Schmidt,Utah,Hughesland,28547,0-493-90603-7
Coffee,Pepsi,Coffee,101,1398,955,443,2/25/21,Monica Mercado,North Carolina,Whitakershire,12974,1-4807-1762-2
Cola,Dr. Pepper,Soft Drink,472,6069,4533,1536,12/17/20,Katherine Robinson,Oregon,New Teresa,52603,1-86050-751-4
Cola,Coca-Cola,Soft Drink,562,9883,7180,2703,12/21/21,James Salazar,Iowa,New Jessicaton,19798,1-55729-850-5
Energy Drink,Coca-Cola,Soft Drink,245,8617,1709,6908,5/1/22,Maurice Hall,Maryland,South Heather,63040,1-971855-58-8
Coffee,Dr. Pepper,Coffee,554,2116,1486,630,7/4/23,Brenda Adams,Utah,South Devintown,42266,1-79959-753-9
Herbal Tea,Dr. Pepper,Tea,502,3428,5865,-2437,2/27/21,Joshua Jones,Missouri,Nicoletown,38850,1-355-52725-2
Energy Drink,Dr. Pepper,Soft Drink,179,3093,3532,-439,4/13/23,Jordan Rasmussen,Colorado,Johnfurt,19214,0-408-49597-9
Beer,Dr. Pepper,Alcoholic,935,5668,3070,2598,4/17/21,David King,Maryland,East Dianahaven,71193,1-4034-4066-2
Cola,Pepsi,Soft Drink,526,3082,7115,-4033,7/29/20,Jose Murphy,Maryland,South Amyview,84534,1-230-47174-X
Cola,Dr. Pepper,Soft Drink,671,5743,4554,1189,11/17/22,Hunter Hall,Nevada,North Nicholas,5244,0-320-91549-2
Wine,Coca-Cola,Alcoholic,279,3759,3448,311,2/5/21,Troy Hernandez,Kansas,North Ashleyhaven,2714,0-560-70787-8
Black Tea,Coca-Cola,Tea,465,6829,4208,2621,3/1/22,Catherine Jones,Texas,South Andrewmouth,22434,0-392-81194-4
Wine,Dr. Pepper,Alcoholic,192,9870,4795,5075,6/8/21,David Oconnor,New York,New Danielleland,57084,1-68663-234-7
Green Tea,Coca-Cola,Tea,849,4659,7269,-2610,5/31/21,Robert Lane,Oklahoma,West Jessica,96805,1-4446-1615-3
Wine,Pepsi,Alcoholic,351,3724,2359,1365,11/24/22,Christopher Miller,Missouri,Sheilachester,67752,1-4940-8694-8
Beer,Dr. Pepper,Alcoholic,691,9336,3233,6103,6/9/21,Thomas Lee PhD,Maryland,Rothbury,52708,0-07-408127-6
Beer,Dr. Pepper,Alcoholic,517,2235,2545,-310,5/5/22,Michael Shepherd,Maine,South Williamberg,22356,0-422-98574-0
Lemonade,Coca-Cola,Soft Drink,658,5411,1161,4250,3/24/22,Samantha Gregory,Connecticut,West Paul,55365,0-13-102304-7
Herbal Tea,Pepsi,Tea,234,6508,6474,34,3/28/21,Sophia Woods,Missouri,Michaelfurt,68009,1-966180-26-8
Green Tea,Dr. Pepper,Tea,144,4060,2398,1662,7/22/21,Jennifer Vincent,Nevada,Youngtown,5158,0-460-47270-4
Beer,Coca-Cola,Alcoholic,279,1132,563,569,2/3/21,Sandra Rush,Connecticut,West Jennifer,54431,1-322-33309-2
Green Tea,Coca-Cola,Tea,434,9864,3455,6409,4/15/22,Samantha Robertson,Wyoming,South Marcusshire,2866,1-281-02885-1
Beer,Pepsi,Alcoholic,871,2724,1045,1679,2/19/23,Jennifer Vaughn,Washington,Tranchester,68104,1-69698-646-X
Wine,Dr. Pepper,Alcoholic,165,4290,3799,491,12/20/22,Cynthia Miller,Arizona,Emilyburgh,27519,1-05-361806-9
Energy Drink,Coca-Cola,Soft Drink,937,5957,2136,3821,3/9/21,Lauren Leon,Wyoming,Matthewview,3438,0-8092-3245-6
Energy Drink,Pepsi,Soft Drink,124,3129,4919,-1790,10/21/22,Barbara Winters,Colorado,Matthewbury,34505,1-4298-5021-3
Herbal Tea,Dr. Pepper,Tea,231,1676,6034,-4358,7/2/20,Kimberly Lopez,New Mexico,Powellfort,44122,0-458-31329-7
Cola,Pepsi,Soft Drink,146,5483,5354,129,2/13/23,Angela Molina,Colorado,Jensenstad,83573,0-243-91336-2
